201;0,971;8;0,818;7;4;Si;201;0,171;10;0,291;10;35;No;69;24;Si;201
202;0,558;6;0,988;7;4;Si;202;0,281;12;0,67;10;35;No;69;26;Si;202
203;0,072;5;0,681;5;4;Si;203;0,654;14;0,708;10;34;No;69;28;Si;203
204;0,755;7;0,214;5;4;Si;204;0,704;14;0,778;10;36;No;69;28;Si;204
205;0,119;5;0,178;3;4;Si;205;0,069;10;0,66;10;28;Si;70;24;Si;205
206;0,786;7;0,42;5;4;Si;206;0,926;16;0,473;10;38;No;70;30;Si;206
207;0,784;7;0,28;5;4;Si;207;0,758;14;0,505;10;36;No;70;28;Si;207
208;0,418;6;0,037;3;4;Si;208;0,728;14;0,161;8;31;Si;71;26;Si;208
209;0,573;6;0,174;3;4;Si;209;0,429;12;0,315;10;31;Si;72;26;Si;209
210;0,704;7;0,978;7;4;Si;210;0,7;14;0,151;8;36;No;72;26;Si;210
211;0,631;7;0,745;5;4;Si;211;0,663;14;0,517;10;36;No;72;28;Si;211
212;0,539;6;0,245;5;4;Si;212;0,825;14;0,298;10;35;No;72;28;Si;212
213;0,78;7;0,189;3;4;Si;213;0,021;10;0,076;8;28;Si;73;22;Si;213
214;0,862;8;0,401;5;4;Si;214;0,059;10;0,019;8;31;Si;74;22;Si;214
215;0,038;5;0,323;5;4;Si;215;0,383;12;0,454;10;32;Si;75;26;Si;215
216;0,624;7;0,284;5;4;Si;216;0,859;16;0,595;10;38;No;75;30;Si;216
217;0,905;8;0,297;5;4;Si;217;0,464;12;0,933;10;35;No;75;26;Si;217
218;0,585;6;0,314;5;4;Si;218;0,014;10;0,693;10;31;Si;76;24;Si;218
219;0,951;8;0,798;7;4;Si;219;0,128;10;0,855;10;35;No;76;24;Si;219
220;0,498;6;0,373;5;4;Si;220;0,289;12;0,633;10;33;No;76;26;Si;220
221;0,006;5;0,446;5;4;Si;221;0,132;10;0,256;10;30;Si;77;24;Si;221
222;0,598;6;0,187;3;4;Si;222;0,801;14;0,867;10;33;No;77;28;Si;222
223;0,285;6;0,131;3;4;Si;223;0,811;14;0,829;10;33;No;77;28;Si;223
224;0,14;5;0,544;5;4;Si;224;0,826;14;0,855;10;34;No;77;28;Si;224
225;0,095;5;0,242;5;4;Si;225;0,637;14;0,634;10;34;No;77;28;Si;225
226;0,275;6;0,449;5;4;Si;226;0,967;16;0,624;10;37;No;77;30;Si;226
227;0,354;6;0,852;7;4;Si;227;0,933;16;0,157;8;37;No;77;28;Si;227
228;0,765;7;0,783;7;4;Si;228;0,308;12;0,696;10;36;No;77;26;Si;228
229;0,145;5;0,922;7;4;Si;229;0,011;10;0,242;8;30;Si;78;22;Si;229
230;0,573;6;0,889;7;4;Si;230;0,975;16;0,346;10;39;No;78;30;Si;230
231;0,129;5;0,51;5;4;Si;231;0,353;12;0,85;10;32;Si;79;26;Si;231
232;0,526;6;0,094;3;4;Si;232;0,784;14;0,351;10;33;No;79;28;Si;232
233;0,974;8;0,159;3;4;Si;233;0,912;16;0,255;10;37;No;79;30;Si;233
234;0,287;6;0,925;7;4;Si;234;0,515;12;0,854;10;35;No;79;26;Si;234
235;0,563;6;0,573;5;4;Si;235;0,349;12;0,397;10;33;No;79;26;Si;235
236;0,902;8;0,464;5;4;Si;236;0,957;16;0,02;8;37;No;79;28;Si;236
237;0,508;6;0,535;5;4;Si;237;0,624;14;0,893;10;35;No;79;28;Si;237
238;0,004;5;0,405;5;4;Si;238;0,854;16;0,101;8;34;No;79;28;Si;238
239;0,63;7;0,225;5;4;Si;239;0,499;12;0,576;10;34;No;79;26;Si;239
240;0,507;6;0,804;7;4;Si;240;0,963;16;0,668;10;39;No;79;30;Si;240
241;0,775;7;0,402;5;4;Si;241;0,109;10;0,369;10;32;Si;80;24;Si;241
242;0,695;7;0,181;3;4;Si;242;0,31;12;0,353;10;32;Si;81;26;Si;242
243;0,206;5;0,448;5;4;Si;243;0,019;10;0,923;10;30;Si;82;24;Si;243
244;0,034;5;0,178;3;4;Si;244;0,315;12;0,722;10;30;Si;83;26;Si;244
245;0,164;5;0,407;5;4;Si;245;0,255;12;0,938;10;32;Si;84;26;Si;245
246;0,015;5;0,227;5;4;Si;246;0,952;16;0,277;10;36;No;84;30;Si;246
247;0,118;5;0,243;5;4;Si;247;0,988;16;0,021;8;34;No;84;28;Si;247
248;0,999;8;0,414;5;4;Si;248;0,217;10;0,861;10;33;No;84;24;Si;248
249;0,73;7;0,436;5;4;Si;249;0,26;12;0,006;8;32;Si;85;24;Si;249
250;0,024;5;0,813;7;4;Si;250;0,74;14;0,812;10;36;No;85;28;Si;250
251;0,485;6;0,378;5;4;Si;251;0,026;10;0,039;8;29;Si;86;22;Si;251
252;0,306;6;0,354;5;4;Si;252;0,523;12;0,03;8;31;Si;87;24;Si;252
253;0,045;5;0,404;5;4;Si;253;0,002;10;0,034;8;28;Si;88;22;Si;253
254;0,566;6;0,001;3;4;Si;254;0,326;12;0,71;10;31;Si;89;26;Si;254
255;0,555;6;0,964;7;4;Si;255;0,968;16;0,818;10;39;No;89;30;Si;255
256;0,917;8;0,377;5;4;Si;256;0,485;12;0,503;10;35;No;89;26;Si;256
257;0,635;7;0,336;5;4;Si;257;0,416;12;0,89;10;34;No;89;26;Si;257
258;0,625;7;0,432;5;4;Si;258;0,454;12;0,156;8;32;Si;90;24;Si;258
259;0,925;8;0,348;5;4;Si;259;0,037;10;0,548;10;33;No;90;24;Si;259
260;0,553;6;0,293;5;4;Si;260;0,616;14;0,118;8;33;No;90;26;Si;260
261;0,832;7;0,138;3;4;Si;261;0,077;10;0,427;10;30;Si;91;24;Si;261
262;0,136;5;0,091;3;4;Si;262;0,496;12;0,48;10;30;Si;92;26;Si;262
263;0,009;5;0,181;3;4;Si;263;0,428;12;0,587;10;30;Si;93;26;Si;263
264;0,161;5;0,819;7;4;Si;264;0,686;14;0,207;8;34;No;93;26;Si;264
265;0,378;6;0,21;5;4;Si;265;0,875;16;0,337;10;37;No;93;30;Si;265
266;0,851;8;0,404;5;4;Si;266;0,749;14;0,629;10;37;No;93;28;Si;266
267;0,053;5;0,072;3;4;Si;267;0,977;16;0,4;10;34;No;93;30;Si;267
268;0,06;5;0,69;5;4;Si;268;0,641;14;0,1;8;32;Si;94;26;Si;268
269;0,8;7;0,817;7;4;Si;269;0,374;12;0,292;10;36;No;94;26;Si;269
270;0,221;5;0,818;7;4;Si;270;0,509;12;0,002;8;32;Si;95;24;Si;270
271;0,613;7;0,156;3;4;Si;271;0,866;16;0,063;8;34;No;95;28;Si;271
272;0,999;8;0,63;5;4;Si;272;0,264;12;0,481;10;35;No;95;26;Si;272
273;0,441;6;0,44;5;4;Si;273;0,499;12;0,256;10;33;No;95;26;Si;273
274;0,882;8;0,146;3;4;Si;274;0,043;10;0,902;10;31;Si;96;24;Si;274
275;0,702;7;0,936;7;4;Si;275;0,253;12;0,63;10;36;No;96;26;Si;275
276;0,58;6;0,59;5;4;Si;276;0,575;12;0,43;10;33;No;96;26;Si;276
277;0,781;7;0,673;5;4;Si;277;0,193;10;0,518;10;32;Si;97;24;Si;277
278;0,514;6;0,486;5;4;Si;278;0,034;10;0,484;10;31;Si;98;24;Si;278
279;0,508;6;0,689;5;4;Si;279;0,447;12;0,617;10;33;No;98;26;Si;279
280;0,871;8;0,371;5;4;Si;280;0,135;10;0,735;10;33;No;98;24;Si;280
281;0,282;6;0,629;5;4;Si;281;0,888;16;0,384;10;37;No;98;30;Si;281
282;0,401;6;0,058;3;4;Si;282;0,657;14;0,8;10;33;No;98;28;Si;282
283;0,531;6;0,199;3;4;Si;283;0,394;12;0,122;8;29;Si;99;24;Si;283
284;0,054;5;0,945;7;4;Si;284;0,734;14;0,403;10;36;No;99;28;Si;284
285;0,348;6;0,309;5;4;Si;285;0,757;14;0,419;10;35;No;99;28;Si;285
286;0,389;6;0,805;7;4;Si;286;0,016;10;0,87;10;33;No;99;24;Si;286
287;0,32;6;0,166;3;4;Si;287;0,888;16;0,091;8;33;No;99;28;Si;287
288;0,295;6;0,518;5;4;Si;288;0,897;16;0,478;10;37;No;99;30;Si;288
289;0,567;6;0,923;7;4;Si;289;0,832;14;0,605;10;37;No;99;28;Si;289
290;0,479;6;0,082;3;4;Si;290;0,65;14;0,732;10;33;No;99;28;Si;290
291;0,791;7;0,03;3;4;Si;291;0,06;10;0,952;10;30;Si;100;24;Si;291
292;0,281;6;0,674;5;4;Si;292;0,626;14;0,617;10;35;No;100;28;Si;292
293;0,39;6;0,34;5;4;Si;293;0,377;12;0,375;10;33;No;100;26;Si;293
294;0,799;7;0,807;7;4;Si;294;0,929;16;0,557;10;40;No;100;30;Si;294
295;0,084;5;0,17;3;4;Si;295;0,702;14;0,959;10;32;Si;101;28;Si;295
296;0,012;5;0,548;5;4;Si;296;0,518;12;0,465;10;32;Si;102;26;Si;296
297;0,218;5;0,225;5;4;Si;297;0,057;10;0,391;10;30;Si;103;24;Si;297
298;0,945;8;0,746;5;4;Si;298;0,52;12;0,977;10;35;No;103;26;Si;298
299;0,989;8;0,977;7;4;Si;299;0,941;16;0,451;10;41;No;103;30;Si;299
300;0,283;6;0,148;3;4;Si;300;0,62;14;0,652;10;33;No;103;28;Si;300
301;0,562;6;0,709;5;4;Si;301;0,345;12;0,993;10;33;No;103;26;Si;301
302;0,449;6;0,49;5;4;Si;302;0,105;10;0,146;8;29;Si;104;22;Si;302
